x,y,z,Bx,By,Bz
0.0,20.0,10.0,-8.839,0.0,0.0
0.0,20.0,20.0,-4.267,0.0,0.0
0.0,20.0,30.0,-2.236,0.0,0.0
0.0,20.0,40.0,-1.281,0.0,0.0
0.0,30.0,-40.0,-2.619,0.0,-0.0
0.0,30.0,-30.0,-4.267,0.0,-0.0
0.0,30.0,-20.0,-6.325,0.0,-0.0
0.0,30.0,-10.0,-7.407,0.0,0.0
0.0,30.0,0.0,-6.325,0.0,0.0
0.0,30.0,10.0,-4.267,0.0,0.0
0.0,30.0,20.0,-2.619,0.0,0.0
0.0,30.0,30.0,-1.6,0.0,0.0
0.0,30.0,40.0,-1.009,0.0,0.0
0.0,40.0,-40.0,-1.6,0.0,-0.0
0.0,40.0,-30.0,-2.236,0.0,-0.0
0.0,40.0,-20.0,-2.853,0.0,-0.0
0.0,40.0,-10.0,-3.125,0.0,0.0
0.0,40.0,0.0,-2.853,0.0,0.0
0.0,40.0,10.0,-2.236,0.0,0.0
0.0,40.0,20.0,-1.6,0.0,0.0
0.0,40.0,30.0,-1.105,0.0,0.0
0.0,40.0,40.0,-0.762,0.0,0.0
10.0,-40.0,-40.0,-1.335,-0.696,-0.522
10.0,-40.0,-30.0,-1.781,-1.188,-0.594
10.0,-40.0,-20.0,-2.182,-1.746,-0.436
10.0,-40.0,-10.0,-2.35,-2.014,0.0
10.0,-40.0,0.0,-2.182,-1.746,0.436
10.0,-40.0,10.0,-1.781,-1.188,0.594
10.0,-40.0,20.0,-1.335,-0.696,0.522
10.0,-40.0,30.0,-0.959,-0.384,0.384
10.0,-40.0,40.0,-0.682,-0.21,0.262
10.0,-30.0,-40.0,-2.034,-1.144,-1.144
10.0,-30.0,-30.0,-3.0,-2.454,-1.636
10.0,-30.0,-20.0,-3.987,-4.485,-1.495
10.0,-30.0,-10.0,-4.427,-5.692,0.0
10.0,-30.0,0.0,-3.987,-4.485,1.495
10.0,-30.0,10.0,-3.0,-2.454,1.636
10.0,-30.0,20.0,-2.034,-1.144,1.144
10.0,-30.0,30.0,-1.335,-0.522,0.696
10.0,-30.0,40.0,-0.883,-0.248,0.414
10.0,-20.0,-40.0,-3.0,-1.636,-2.454
10.0,-20.0,-30.0,-4.938,-4.938,-4.938
10.0,-20.0,-20.0,-6.804,-13.608,-6.804
10.0,-20.0,-10.0,-7.155,-21.466,0.0
10.0,-20.0,0.0,-6.804,-13.608,6.804
10.0,-20.0,10.0,-4.938,-4.938,4.938
10.0,-20.0,20.0,-3.0,-1.636,2.454
10.0,-20.0,30.0,-1.781,-0.594,1.188
10.0,-20.0,40.0,-1.095,-0.243,0.609
10.0,-10.0,-40.0,-3.987,-1.495,-4.485
10.0,-10.0,-30.0,-6.804,-6.804,-13.608
10.0,-10.0,-20.0,-0.0,-38.49,-38.49
10.0,-10.0,-10.0,35.355,-106.066,0.0
10.0,-10.0,0.0,-0.0,-38.49,38.49
10.0,-10.0,10.0,-6.804,-6.804,13.608
10.0,-10.0,20.0,-3.987,-1.495,4.485
10.0,-10.0,30.0,-2.182,-0.436,1.746
10.0,-10.0,40.0,-1.267,-0.158,0.792
10.0,0.0,-40.0,-4.427,0.0,-5.692
10.0,0.0,-30.0,-7.155,0.0,-21.466
10.0,0.0,-20.0,35.355,0.0,-106.066
10.0,0.0,-10.0,400.0,0.0,0.0
10.0,0.0,0.0,35.355,0.0,106.066
10.0,0.0,10.0,-7.155,0.0,21.466
10.0,0.0,20.0,-4.427,0.0,5.692
10.0,0.0,30.0,-2.35,0.0,2.014
10.0,0.0,40.0,-1.335,0.0,0.87
10.0,10.0,-40.0,-3.987,1.495,-4.485
10.0,10.0,-30.0,-6.804,6.804,-13.608
10.0,10.0,-20.0,-0.0,38.49,-38.49
10.0,10.0,-10.0,35.355,106.066,0.0
10.0,10.0,0.0,-0.0,38.49,38.49
10.0,10.0,10.0,-6.804,6.804,13.608
10.0,10.0,20.0,-3.987,1.495,4.485
10.0,10.0,30.0,-2.182,0.436,1.746
10.0,10.0,40.0,-1.267,0.158,0.792
10.0,20.0,-40.0,-3.0,1.636,-2.454
10.0,20.0,-30.0,-4.938,4.938,-4.938
10.0,20.0,-20.0,-6.804,13.608,-6.804
10.0,20.0,-10.0,-7.155,21.466,0.0
10.0,20.0,0.0,-6.804,13.608,6.804
10.0,20.0,10.0,-4.938,4.938,4.938
10.0,20.0,20.0,-3.0,1.636,2.454
10.0,20.0,30.0,-1.781,0.594,1.188
10.0,20.0,40.0,-1.095,0.243,0.609
10.0,30.0,-40.0,-2.034,1.144,-1.144
10.0,30.0,-30.0,-3.0,2.454,-1.636
10.0,30.0,-20.0,-3.987,4.485,-1.495
10.0,30.0,-10.0,-4.427,5.692,0.0
10.0,30.0,0.0,-3.987,4.485,1.495
10.0,30.0,10.0,-3.0,2.454,1.636
10.0,30.0,20.0,-2.034,1.144,1.144
10.0,30.0,30.0,-1.335,0.522,0.696
10.0,30.0,40.0,-0.883,0.248,0.414
10.0,40.0,-40.0,-1.335,0.696,-0.522
10.0,40.0,-30.0,-1.781,1.188,-0.594
10.0,40.0,-20.0,-2.182,1.746,-0.436
10.0,40.0,-10.0,-2.35,2.014,0.0
10.0,40.0,0.0,-2.182,1.746,0.436
10.0,40.0,10.0,-1.781,1.188,0.594
10.0,40.0,20.0,-1.335,0.696,0.522
10.0,40.0,30.0,-0.959,0.384,0.384
10.0,40.0,40.0,-0.682,0.21,0.262
20.0,-40.0,-40.0,-0.751,-1.06,-0.795
20.0,-40.0,-30.0,-0.851,-1.701,-0.851
20.0,-40.0,-20.0,-0.891,-2.375,-0.594
20.0,-40.0,-10.0,-0.894,-2.683,0.0
20.0,-40.0,0.0,-0.891,-2.375,0.594
20.0,-40.0,10.0,-0.851,-1.701,0.851
20.0,-40.0,20.0,-0.751,-1.06,0.795
20.0,-40.0,30.0,-0.617,-0.617,0.617
20.0,-40.0,40.0,-0.486,-0.353,0.442
20.0,-30.0,-40.0,-0.881,-1.586,-1.586
20.0,-30.0,-30.0,-0.839,-3.021,-2.014
20.0,-30.0,-20.0,-0.545,-4.909,-1.636
20.0,-30.0,-10.0,-0.328,-5.908,0.0
20.0,-30.0,0.0,-0.545,-4.909,1.636
20.0,-30.0,10.0,-0.839,-3.021,2.014
20.0,-30.0,20.0,-0.881,-1.586,1.586
20.0,-30.0,30.0,-0.751,-0.795,1.06
20.0,-30.0,40.0,-0.584,-0.404,0.674
20.0,-20.0,-40.0,-0.839,-2.014,-3.021
20.0,-20.0,-30.0,-0.0,-4.811,-4.811
20.0,-20.0,-20.0,2.469,-9.877,-4.938
20.0,-20.0,-10.0,4.419,-13.258,0.0
